county,municipality,parcelid,address,propclass,est_fmv
DANE,CITY OF MADISON,060801121140,2601 PRAIRIE RD,1,0
DANE,TOWN OF SPRINGDALE,060701101037,7954 CORAY LN,1,
DANE,TOWN OF CROSS PLAINS,070701195006,4739 ENCHANTED VALLEY RD,"1,4",
DANE,TOWN OF VERMONT,070601490000,9637 ROBERTS RD,"1,4,5,5M",
DANE,TOWN OF BLUE MOUNDS,060601120010,3222 STATE HIGHWAY 78,4,
DANE,TOWN OF DUNN,061001295010,3323 COUNTY HIGHWAY MN,"4,5M,7",
JEFFERSON,TOWN OF CONCORD,006-0716-1444-000,W542 CONCORD CENTER DR,"4,5,7",
JEFFERSON,TOWN OF KOSHKONONG,016-0514-1914-000,N1165 OLD 26 RD,"1,4",
JEFFERSON,TOWN OF WATERTOWN,032-0814-0131-000,W5151 COUNTY ROAD T,"4,5,7",
JEFFERSON,TOWN OF IXONIA,012-0816-0123-000,N9523 NORTH RIVER RD,"1,5",
JEFFERSON,TOWN OF JEFFERSON,014-0614-2222-000,N3656 STATE ROAD 89,"4,7",
JEFFERSON,TOWN OF FARMINGTON,008-0714-0142-000,W5115 WOODSIDE LN,"4,7",
WAUKESHA,CITY OF NEW BERLIN,NBC 1161532,15730 W RIDGE RD,1,275600
WAUKESHA,CITY OF WAUKESHA,WAKC1359357,1205 WOODBURY CMN A,1,298900
WAUKESHA,CITY OF PEWAUKEE,PWC 0924977084,W240N2366 RANGE LINE CT UNIT B,1,502500
WAUKESHA,CITY OF BROOKFIELD,BR C1133220,19260 W MCALLISTER LN B,1,459000
WAUKESHA,VILLAGE OF MENOMONEE FALLS,MNFV0037199064,N84W15750 RIDGE RD UNIT 301,1,195000
WAUKESHA,CITY OF MUSKEGO,MSKC2259980,W124S10227 S 124TH ST,"4,5,6",
GREEN,TOWN OF BROOKLYN,2300601865000,W465 YARWOOD RD,"1,4",
GREEN,TOWN OF YORK,2303206460000,N7896 GOULD HILL RD,"1,4",
GREEN,TOWN OF NEW GLARUS,2302400729000,N9177 OLD MADISON RD,"1,5",
GREEN,TOWN OF EXETER,2301402500000,W2789 NYE RD,"4,5,5M,7",
GREEN,TOWN OF SYLVESTER,2302800820000,N4330 LADWIG RD,"1,6",441200
GREEN,TOWN OF CADIZ,2300802940000,W9469 FOX VALLEY RD,"4,5,7",
ROCK,TOWN OF NEWARK,028 001001,6744 S JOHNSON ROAD,"4,5,5M,7",
ROCK,CITY OF BELOIT,206 12810500,1920 MADISON ROAD,4,
ROCK,CITY OF JANESVILLE,241 0414300011,1321 W AVALON ROAD,"2,4",
ROCK,TOWN OF MILTON,026 00100101,7216 E COUNTY LINE ROAD,"4,5,7",
ROCK,TOWN OF JANESVILLE,016 0010083,704 E J F TOWNLINE ROAD,1,597600
ROCK,TOWN OF PLYMOUTH,030 001001,6743 W STATE ROAD 11,"4,7",
WALWORTH,TOWN OF EAST TROY,P ET 100003A,W120 CTH L,1,365100
WALWORTH,TOWN OF TROY,L T  100005,N9335 CTH E,"1,4,5M",
WALWORTH,TOWN OF LAFAYETTE,K LF 100001,W2546 CTH D,"4,5,7",
WALWORTH,TOWN OF LAGRANGE,H LG 100001A,W5001 YOUNG ROAD,"1,4",
WALWORTH,TOWN OF LINN,I L  200002,W3191 SNAKE ROAD,1,11373500
COLUMBIA,TOWN OF LEWISTON,2255376,W12419 BOOTS ROAD,"1,4,5M",
COLUMBIA,TOWN OF MARCELLON,2250804,W4955 BARRY ROAD,"4,5,7",
COLUMBIA,TOWN OF WYOCENA,2242072,N7569 ATKINSON ROAD,"4,7",
COLUMBIA,TOWN OF SCOTT,2245502,N9843 INGLEHART ROAD,"4,5,5M",
COLUMBIA,TOWN OF LOWVILLE,2251731,N4830 HAGAN ROAD,"1,4,5,5M",
DODGE,TOWN OF ASHIPPUN,00209170114000,N2331 TAYLOR ROAD,"1,4,5M",
DODGE,TOWN OF RUBICON,03810170111000,W492 MCKINLEY ROAD,"4,5,7",
DODGE,TOWN OF LOWELL,03209140411000,N2498 PLATO ROAD,"4,7",
DODGE,TOWN OF HERMAN,02011170111001,W215 HOCHHEIM ROAD,"1,5,5M",
DODGE,TOWN OF LEBANON,02609160111001,W2899 INDIAN ROAD,"1,4",
WASHINGTON,TOWN OF TRENTON,T11 0001,NEWARK DR,"4,5M",
WASHINGTON,TOWN OF BARTON,T2 0093101,3409  CALEB CT,1,334200
WASHINGTON,TOWN OF FARMINGTON,T4 000300Z,9601 CAMP AWANA RD,"1,4,5,5M",
WASHINGTON,TOWN OF ADDISON,T1 000400A,ALPINE DR,"4,5,5M",
WASHINGTON,TOWN OF ERIN,T3 0007,5579 E WATERFORD RD,"1,4,5,5M",
